Date,Value,Ratio,HALF_YEAR
1997/2/19,812.48999,130.768361,121.2935955
1997/2/20,802.799988,129.2087779,119.8470113
1997/2/21,801.77002,129.043007,119.6932512
1997/2/24,810.280029,130.412673,120.9636787
1997/2/25,812.030029,130.6943314,121.2249296
1997/2/26,805.679993,129.672308,120.2769565
1997/2/27,795.070007,127.9646556,118.6930313
1997/2/28,790.820007,127.280628,118.0585647
1997/3/3,795.309998,128.0032816,118.7288587
1997/3/4,790.950012,127.301552,118.0779726
1997/3/5,801.98999,129.0784106,119.7260897
1997/3/6,798.559998,128.5263615,119.214039
1997/3/7,804.969971,129.5580316,120.17096
1997/3/10,813.650024,130.9550658,121.4667726
1997/3/11,811.340027,130.5832772,121.1219218
1997/3/12,804.26001,129.443765,120.0649725
1997/3/13,789.559998,127.0778325,117.8704626
1997/3/14,793.169983,127.6588512,118.4093838
1997/3/17,795.710022,128.0676645,118.7885768
1997/3/18,789.659973,127.0939233,117.8853875
1997/3/19,785.77002,126.4678445,117.304671
1997/3/20,782.650024,125.9656884,116.8388984
1997/3/21,784.099976,126.1990548,117.0553564
1997/3/24,790.890015,127.2918957,118.0690159
1997/3/25,789.070007,126.9989696,117.7973137
1997/3/26,790.5,127.2291237,118.010792
1997/3/27,773.880005,124.5541744,115.5296551
1997/3/31,757.119995,121.85669,113.0276158
1997/4/1,759.640015,122.2622813,113.4038202
1997/4/2,750.109985,120.7284453,111.9811176
1997/4/3,750.320007,120.7622479,112.012471
1997/4/4,757.900024,121.9822339,113.1440634
1997/4/7,762.130005,122.6630394,113.7755415
1997/4/8,766.119995,123.3052189,114.3711922
1997/4/9,760.599976,122.4167848,113.5471291
1997/4/10,758.340027,122.0530513,113.2097498
1997/4/11,737.650024,118.7230438,110.1210165
1997/4/14,743.72998,119.7015985,111.0286705
1997/4/15,754.719971,121.4704118,112.6693252
1997/4/16,763.530029,122.88837,113.9845458
1997/4/17,761.77002,122.6051007,113.7218006
1997/4/18,766.340027,123.3406326,114.4040399
1997/4/21,760.369995,122.3797699,113.5127961
1997/4/22,774.609985,124.671663,115.6386311
1997/4/23,773.640015,124.5155486,115.4938279
1997/4/24,771.179993,124.1196138,115.1265804
1997/4/25,765.369995,123.1845082,114.2592275
1997/4/28,772.960022,124.4061053,115.3923142
1997/4/29,794.049988,127.8004859,118.5407565
1997/4/30,801.340027,128.9738006,119.6290592
1997/5/1,798.530029,128.521538,119.6290592
1997/5/2,812.969971,130.8456129,119.6290592
1997/5/5,830.289978,133.6332274,119.6290592
1997/5/6,827.76001,133.226035,119.6290592
1997/5/7,815.619995,131.272128,119.6290592
1997/5/8,820.26001,132.0189276,119.6290592
1997/5/9,824.780029,132.746414,119.6290592
1997/5/12,837.659973,134.8194109,119.6290592
1997/5/13,833.130005,134.0903231,119.6290592
1997/5/14,836.039978,134.5586765,119.6290592
1997/5/15,841.880005,135.4986151,119.6290592
1997/5/16,829.75,133.5463192,119.6290592
1997/5/19,833.27002,134.1128582,119.6290592
1997/5/20,841.659973,135.4632015,119.6290592
1997/5/21,839.349976,135.0914129,119.6290592
1997/5/22,835.659973,134.4975155,119.6290592
1997/5/23,847.030029,136.3274994,119.6290592
1997/5/27,849.710022,136.758838,119.6290592
1997/5/28,847.210022,136.3564689,119.6290592
1997/5/29,844.080017,135.8527019,119.6290592
1997/5/30,848.280029,136.528684,119.6290592
1997/6/2,846.359985,136.2196574,119.6290592
1997/6/3,845.47998,136.0780227,119.6290592
1997/6/4,840.109985,135.2137346,119.6290592
1997/6/5,843.429993,135.7480821,119.6290592
1997/6/6,858.01001,138.0947017,119.6290592
1997/6/9,862.909973,138.8833392,119.6290592
1997/6/10,865.27002,139.2631833,119.6290592
1997/6/11,869.570007,139.9552561,119.6290592
1997/6/12,883.460022,142.1908215,119.6290592
1997/6/13,893.27002,143.7697177,119.6290592
1997/6/16,893.900024,143.8711154,119.6290592
1997/6/17,894.419983,143.9548015,119.6290592
1997/6/18,889.059998,143.0921245,119.6290592
1997/6/19,897.98999,144.5293858,119.6290592
1997/6/20,898.700012,144.6436622,119.6290592
1997/6/23,878.619995,141.4118305,119.6290592
1997/6/24,896.340027,144.2638281,119.6290592
1997/6/25,888.98999,143.0808569,119.6290592
1997/6/26,883.679993,142.2262253,119.6290592
1997/6/27,887.299988,142.808855,119.6290592
1997/6/30,885.140015,142.4612124,119.6290592
1997/7/1,891.030029,143.4091964,119.6290592
1997/7/2,904.030029,145.5015159,119.6290592
1997/7/3,916.919983,147.5761238,119.6290592
1997/7/7,912.200012,146.8164556,119.6290592
1997/7/8,918.75,147.8706608,119.6290592
1997/7/9,907.539978,146.066434,119.6290592
1997/7/10,913.780029,147.0707556,119.6290592
1997/7/11,916.679993,147.537498,119.6290592
1997/7/14,918.380005,147.811111,119.6290592
1997/7/15,925.76001,148.9989055,119.6290592
1997/7/16,936.590027,150.7419714,119.6290592
1997/7/17,931.609985,149.9404453,119.6290592
1997/7/18,915.299988,147.3153894,119.6290592
1997/7/21,912.940002,146.9355552,119.6290592
1997/7/22,933.97998,150.3218904,119.6290592
1997/7/23,936.559998,150.7371383,119.6290592
1997/7/24,940.299988,151.3390809,119.6290592
1997/7/25,938.789978,151.0960483,119.6290592
1997/7/28,936.450012,150.7194363,119.6290592
1997/7/29,942.289978,151.6593651,119.6290592
1997/7/30,952.289978,153.2688417,119.6290592
1997/7/31,954.309998,153.5939592,119.6290592
1997/8/1,947.140015,152.4399672,119.6290592
1997/8/4,950.299988,152.9485575,119.6290592
1997/8/5,952.369995,153.2817203,119.6290592
1997/8/6,960.320007,154.5612561,119.6290592
1997/8/7,951.190002,153.0918031,119.6290592
1997/8/8,933.539978,150.2510731,119.6290592
1997/8/11,937,150.8079556,119.6290592
1997/8/12,926.530029,149.1228382,119.6290592
1997/8/13,922.02002,148.3969629,119.6290592
1997/8/14,924.77002,148.8395689,119.6290592
1997/8/15,900.809998,144.9832595,119.6290592
1997/8/18,912.48999,146.8631268,119.6290592
1997/8/19,926.01001,149.0391424,119.6290592
1997/8/20,939.349976,151.1861787,119.6290592
1997/8/21,925.049988,148.8846291,119.6290592
1997/8/22,923.539978,148.6415965,119.6290592
1997/8/25,920.159973,148.0975926,119.6290592
1997/8/26,913.02002,146.9484339,119.6290592
1997/8/27,913.700012,147.0578771,119.6290592
1997/8/28,903.669983,145.4435674,119.6290592
1997/8/29,899.469971,144.7675853,119.6290592
1997/9/2,927.580017,149.2918314,119.6290592
1997/9/3,927.859985,149.3368915,119.6290592
1997/9/4,930.869995,149.8213456,119.6290592
1997/9/5,929.049988,149.5284197,119.6290592
1997/9/8,931.200012,149.8744611,119.6290592
1997/9/9,933.619995,150.2639517,119.6290592
1997/9/10,919.030029,147.9157308,119.6290592
1997/9/11,912.590027,146.8792276,119.6290592
1997/9/12,923.909973,148.7011464,119.6290592
1997/9/15,919.77002,148.0348306,119.6290592
1997/9/16,945.640015,152.1985457,119.6290592
1997/9/17,943,151.7736415,119.6290592
1997/9/18,947.289978,152.4641034,119.6290592
1997/9/19,950.51001,152.98236,119.6290592
1997/9/22,955.429993,153.7742198,119.6290592
1997/9/23,951.929993,153.210903,119.6290592
1997/9/24,944.47998,152.0118408,119.6290592
1997/9/25,937.909973,150.9544136,119.6290592
1997/9/26,945.219971,152.1309406,119.6290592
1997/9/29,953.340027,153.4378446,119.6290592
1997/9/30,947.280029,152.4625021,119.6290592
1997/10/1,955.409973,153.7709976,119.6290592
1997/10/2,960.460022,154.5837912,119.6290592
1997/10/3,965.030029,155.3193231,119.6290592
1997/10/6,972.690002,156.5521778,119.6290592
1997/10/7,983.119995,158.2308607,119.6290592
1997/10/8,973.840027,156.7372716,119.6290592
1997/10/9,970.619995,156.219015,119.6290592
1997/10/10,966.97998,155.6331631,119.6290592
1997/10/13,968.099976,155.8134239,119.6290592
1997/10/14,970.280029,156.1642983,119.6290592
1997/10/15,965.719971,155.4303676,119.6290592
1997/10/16,955.25,153.7452503,119.6290592
1997/10/17,944.159973,151.9603364,119.6290592
