Date,Value,Ratio,NEW_HALF_YEAR
1997/6/19,897.98999,144.5293858,111.5471859
1997/6/20,898.700012,144.6436622,111.5471859
1997/6/23,878.619995,141.4118305,111.5471859
1997/6/24,896.340027,144.2638281,111.5471859
1997/6/25,888.98999,143.0808569,111.5471859
1997/6/26,883.679993,142.2262253,111.5471859
1997/6/27,887.299988,142.808855,111.5471859
1997/6/30,885.140015,142.4612124,111.5471859
1997/7/1,891.030029,143.4091964,111.5471859
1997/7/2,904.030029,145.5015159,111.5471859
1997/7/3,916.919983,147.5761238,111.5471859
1997/7/7,912.200012,146.8164556,111.5471859
1997/7/8,918.75,147.8706608,111.5471859
1997/7/9,907.539978,146.066434,111.5471859
1997/7/10,913.780029,147.0707556,111.5471859
1997/7/11,916.679993,147.537498,111.5471859
1997/7/14,918.380005,147.811111,111.5471859
1997/7/15,925.76001,148.9989055,111.5471859
1997/7/16,936.590027,150.7419714,111.5471859
1997/7/17,931.609985,149.9404453,111.5471859
1997/7/18,915.299988,147.3153894,111.5471859
1997/7/21,912.940002,146.9355552,111.5471859
1997/7/22,933.97998,150.3218904,111.5471859
1997/7/23,936.559998,150.7371383,111.5471859
1997/7/24,940.299988,151.3390809,111.5471859
1997/7/25,938.789978,151.0960483,111.5471859
1997/7/28,936.450012,150.7194363,111.5471859
1997/7/29,942.289978,151.6593651,111.5471859
1997/7/30,952.289978,153.2688417,111.5471859
1997/7/31,954.309998,153.5939592,111.5471859
1997/8/1,947.140015,152.4399672,111.5471859
1997/8/4,950.299988,152.9485575,111.5471859
1997/8/5,952.369995,153.2817203,111.5471859
1997/8/6,960.320007,154.5612561,111.5471859
1997/8/7,951.190002,153.0918031,111.5471859
1997/8/8,933.539978,150.2510731,111.5471859
1997/8/11,937,150.8079556,111.5471859
1997/8/12,926.530029,149.1228382,111.5471859
1997/8/13,922.02002,148.3969629,111.5471859
1997/8/14,924.77002,148.8395689,111.5471859
1997/8/15,900.809998,144.9832595,111.5471859
1997/8/18,912.48999,146.8631268,111.5471859
1997/8/19,926.01001,149.0391424,111.5471859
1997/8/20,939.349976,151.1861787,111.5471859
1997/8/21,925.049988,148.8846291,111.5471859
1997/8/22,923.539978,148.6415965,111.5471859
1997/8/25,920.159973,148.0975926,111.5471859
1997/8/26,913.02002,146.9484339,111.5471859
1997/8/27,913.700012,147.0578771,111.5471859
1997/8/28,903.669983,145.4435674,111.5471859
1997/8/29,899.469971,144.7675853,111.5471859
1997/9/2,927.580017,149.2918314,111.5471859
1997/9/3,927.859985,149.3368915,111.5471859
1997/9/4,930.869995,149.8213456,111.5471859
1997/9/5,929.049988,149.5284197,111.5471859
1997/9/8,931.200012,149.8744611,111.5471859
1997/9/9,933.619995,150.2639517,111.5471859
1997/9/10,919.030029,147.9157308,111.5471859
1997/9/11,912.590027,146.8792276,111.5471859
1997/9/12,923.909973,148.7011464,111.5471859
1997/9/15,919.77002,148.0348306,111.5471859
1997/9/16,945.640015,152.1985457,111.5471859
1997/9/17,943,151.7736415,111.5471859
1997/9/18,947.289978,152.4641034,111.5471859
1997/9/19,950.51001,152.98236,111.5471859
1997/9/22,955.429993,153.7742198,111.5471859
1997/9/23,951.929993,153.210903,111.5471859
1997/9/24,944.47998,152.0118408,111.5471859
1997/9/25,937.909973,150.9544136,111.5471859
1997/9/26,945.219971,152.1309406,111.5471859
1997/9/29,953.340027,153.4378446,111.5471859
1997/9/30,947.280029,152.4625021,111.5471859
1997/10/1,955.409973,153.7709976,112.5045294
1997/10/2,960.460022,154.5837912,113.0991991
1997/10/3,965.030029,155.3193231,113.6373414
1997/10/6,972.690002,156.5521778,114.5393433
1997/10/7,983.119995,158.2308607,115.7675296
1997/10/8,973.840027,156.7372716,114.6747648
1997/10/9,970.619995,156.219015,114.2955892
1997/10/10,966.97998,155.6331631,113.8669583
1997/10/13,968.099976,155.8134239,113.9988437
1997/10/14,970.280029,156.1642983,114.2555564
1997/10/15,965.719971,155.4303676,113.7185857
1997/10/16,955.25,153.7452503,112.4856917
1997/10/17,944.159973,151.9603364,111.1797829
1997/10/20,955.609985,153.8031891,112.5280818
1997/10/21,972.280029,156.4861936,114.4910669
1997/10/22,968.48999,155.8761957,114.0447699
1997/10/23,950.690002,153.0113293,111.9487281
1997/10/24,941.640015,151.5547551,110.8830447
1997/10/27,876.98999,141.149485,103.2701656
1997/10/28,921.849976,148.3695947,108.5526639
1997/10/29,919.159973,147.936645,108.235902
1997/10/30,903.679993,145.4451785,106.4130532
1997/10/31,914.619995,147.2059462,107.7012958
1997/11/3,938.98999,151.1282398,110.5709904
1997/11/4,940.76001,151.4131204,110.7794195
1997/11/5,942.76001,151.7350157,111.01493
1997/11/6,938.030029,150.9737363,110.4579499
1997/11/7,927.51001,149.2805639,109.2191626
1997/11/10,921.130005,148.253717,108.4678836
1997/11/11,923.780029,148.6802322,108.7799378
1997/11/12,905.960022,145.8121438,106.6815386
1997/11/13,916.659973,147.5342758,107.9415139
1997/11/14,928.349976,149.4157544,109.318073
1997/11/17,946.200012,152.2886759,111.4200082
1997/11/18,938.22998,151.005918,110.4814952
1997/11/19,944.590027,152.0295526,111.2304241
1997/11/20,958.97998,154.3455819,112.9249164
1997/11/21,963.090027,155.0070843,113.408896
1997/11/24,946.669983,152.3643167,111.4753498
1997/11/25,950.820007,153.0322533,111.9640368
1997/11/26,951.640015,153.1642317,112.0605971
1997/11/28,955.400024,153.7693963,112.5033578
1997/12/1,974.77002,156.8869518,114.7842763
1997/12/2,971.679993,156.3896192,114.4204095
1997/12/3,976.77002,157.2088471,115.0197868
1997/12/4,973.099976,156.6181621,114.5876199
1997/12/5,983.789978,158.3386929,115.8464236
1997/12/8,982.369995,158.11015,115.6792132
1997/12/9,975.780029,157.0495104,114.9032102
1997/12/10,969.789978,156.0854257,114.1978503
1997/12/11,954.940002,153.6953569,112.4491878
1997/12/12,953.390015,153.4458901,112.2666687
1997/12/15,963.390015,155.0553667,113.4442211
1997/12/16,968.039978,155.8037673,113.9917786
1997/12/17,965.539978,155.4013982,113.6973905
1997/12/18,955.299988,153.7532958,112.4915781
1997/12/19,946.780029,152.3820283,111.4883083
1997/12/22,953.700012,153.4957834,112.3031725
1997/12/23,939.130005,151.1507749,110.5874779
1997/12/24,932.700012,150.1158826,109.8303125
1997/12/26,936.460022,150.7210474,110.2730734
1997/12/29,953.349976,153.4394459,112.2619539
1997/12/30,970.840027,156.2544286,114.3214991
1997/12/31,970.429993,156.1884346,114.2732154
1998/1/2,975.039978,156.9304009,114.2732154
1998/1/5,977.070007,157.2571293,114.2732154
1998/1/6,966.580017,155.56879,114.2732154
1998/1/7,964,155.1535423,114.2732154
1998/1/8,956.049988,153.8740065,114.2732154
1998/1/9,927.690002,149.3095332,114.2732154
1998/1/12,939.210022,151.1636534,114.2732154
1998/1/13,952.119995,153.2414833,114.2732154
1998/1/14,957.940002,154.1781998,114.2732154
1998/1/15,950.72998,153.0177637,114.2732154
1998/1/16,961.51001,154.7527843,114.2732154
1998/1/20,978.599976,157.5033743,114.2732154
1998/1/21,970.809998,156.2495955,114.2732154
1998/1/22,963.039978,154.999029,114.2732154
1998/1/23,957.590027,154.1218722,114.2732154
1998/1/26,956.950012,154.0188633,114.2732154
1998/1/27,969.02002,155.9615028,114.2732154
1998/1/28,977.460022,157.3199013,114.2732154
1998/1/29,985.48999,158.6123059,114.2732154
1998/1/30,980.280029,157.7737749,114.2732154
1998/2/2,1001.27002,161.1520648,114.2732154
1998/2/3,1006,161.913344,114.2732154
1998/2/4,1006.900024,162.0582007,114.2732154
1998/2/5,1003.539978,161.5174092,114.2732154
1998/2/6,1012.460022,162.9530694,114.2732154
1998/2/9,1010.73999,162.6762342,114.2732154
1998/2/10,1019.01001,164.0072746,114.2732154
1998/2/11,1020.01001,164.1682223,114.2732154
1998/2/12,1024.140015,164.8329369,114.2732154
1998/2/13,1020.090027,164.1811008,114.2732154
1998/2/17,1022.76001,164.6108283,114.2732154
1998/2/18,1032.079956,166.1108518,114.2732154
1998/2/19,1028.280029,165.4992624,114.2732154
1998/2/20,1034.209961,166.4536711,114.2732154
1998/2/23,1038.140015,167.0862041,114.2732154
1998/2/24,1030.560059,165.8662279,114.2732154
1998/2/25,1042.900024,167.8523164,114.2732154
1998/2/26,1048.670044,168.7809876,114.2732154
1998/2/27,1049.339966,168.88881,114.2732154
1998/3/2,1047.699951,168.6248534,114.0946176
1998/3/3,1052.02002,169.3201584,114.5650735
1998/3/4,1047.329956,168.5653036,114.0543252
1998/3/5,1035.050049,166.5888813,112.7170422
1998/3/6,1055.689941,169.9108236,114.9647283
1998/3/9,1052.310059,169.3668395,114.5966588
1998/3/10,1064.25,171.288545,115.8969194
1998/3/11,1068.469971,171.9677395,116.3564747
1998/3/12,1069.920044,172.2011253,116.5143877
1998/3/13,1068.609985,171.9902744,116.3717222
1998/3/16,1079.27002,173.7059821,117.532601
1998/3/17,1080.449951,173.8958892,117.6610956
1998/3/18,1085.52002,174.7119049,118.2132265
1998/3/19,1089.73999,175.3910992,118.6727816
1998/3/20,1099.160034,176.9072332,119.6986253
1998/3/23,1095.550049,176.3262146,119.3054976
1998/3/24,1105.650024,177.9517819,120.4053857
1998/3/25,1101.930054,177.3530615,120.0002807
1998/3/26,1100.800049,177.1711898,119.877223
1998/3/27,1095.439941,176.308493,119.2935068
1998/3/30,1093.599976,176.0123549,119.0931344
1998/3/31,1101.75,177.3240822,119.9806728
1998/4/1,1108.150024,178.3541511,120.677636
1998/4/2,1120.01001,180.2629881,121.9691895
1998/4/3,1122.699951,180.6959278,122.2621243
1998/4/6,1121.380005,180.4834855,122.1183821
1998/4/7,1109.550049,178.5794818,120.8300988
1998/4/8,1101.650024,177.3079913,119.9697854
1998/4/9,1110.670044,178.7597424,120.9520664
1998/4/13,1109.689941,178.6019971,120.8453331
1998/4/14,1115.75,179.5773494,121.505274
1998/4/15,1119.319946,180.1519239,121.8940415
1998/4/16,1108.170044,178.3573733,120.6798161
1998/4/17,1122.719971,180.6991499,122.2643045
1998/4/20,1123.650024,180.8488398,122.3655873
1998/4/21,1126.670044,181.3349049,122.6944678
1998/4/22,1130.540039,181.9577716,123.1159106
1998/4/23,1119.579956,180.1937719,121.9223566
1998/4/24,1107.900024,178.3139142,120.6504109
1998/4/27,1086.540039,174.8760746,118.3243067
1998/4/28,1085.109985,174.6459108,118.1685737
1998/4/29,1094.619995,176.1765246,119.2042146
1998/4/30,1111.75,178.9335588,121.0696737
1998/5/1,1121,180.4223246,121.0696737
1998/5/4,1122.069946,180.5945299,121.0696737
1998/5/5,1115.5,179.5371125,121.0696737
1998/5/6,1104.920044,177.8342934,121.0696737
1998/5/7,1095.140015,176.2602206,121.0696737
