Date, Open, High, Low, Close
09/02/04, 1139.48, 1139.94, 1132.38, 1137.59
09/01/04, 1132.76, 1138.52, 1132.72, 1135.62
08/31/04, 1131.21, 1134.70, 1126.43, 1129.55
08/30/04, 1137.57, 1140.58, 1133.66, 1138.02
08/27/04, 1132.31, 1137.78, 1129.27, 1137.78
08/26/04, 1135.85, 1138.10, 1127.83, 1130.06
08/25/04, 1115.66, 1130.40, 1113.81, 1128.92
08/24/04, 1116.74, 1120.12, 1110.13, 1116.60
08/23/04, 1115.93, 1119.91, 1114.24, 1114.24
08/20/04, 1105.08, 1113.19, 1104.46, 1109.84
08/19/04, 1102.38, 1107.62, 1100.26, 1107.48
08/18/04, 1091.73, 1095.56, 1085.30, 1094.88
08/17/04, 1093.15, 1096.82, 1089.46, 1089.93
08/16/04, 1094.17, 1094.20, 1073.69, 1084.64
08/13/04, 1107.98, 1107.98, 1096.81, 1096.81
08/12/04, 1116.61, 1123.60, 1116.61, 1117.22
08/11/04, 1115.12, 1121.11, 1114.15, 1121.11
08/10/04, 1095.66, 1107.72, 1095.66, 1105.02
08/09/04, 1093.43, 1101.91, 1086.87, 1101.57
08/06/04, 1105.87, 1108.09, 1101.19, 1107.12
08/05/04, 1117.03, 1121.58, 1111.23, 1116.85
08/04/04, 1121.24, 1121.26, 1101.53, 1114.76
08/03/04, 1135.36, 1137.86, 1121.71, 1127.03
08/02/04, 1137.58, 1139.97, 1130.09, 1135.64
07/30/04, 1130.75, 1139.62, 1130.43, 1139.30
07/29/04, 1128.34, 1128.45, 1117.32, 1121.98
07/28/04, 1124.37, 1131.01, 1123.26, 1129.64
07/27/04, 1125.78, 1128.82, 1114.39, 1114.39
07/26/04, 1128.81, 1130.71, 1124.59, 1126.93
07/23/04, 1143.00, 1143.20, 1134.85, 1135.29
07/22/04, 1142.79, 1146.21, 1137.63, 1144.31
07/21/04, 1146.73, 1153.76, 1145.38, 1153.76
07/20/04, 1142.84, 1142.84, 1135.41, 1139.53
07/16/04, 1144.93, 1154.74, 1137.52, 1151.16
07/15/04, 1154.26, 1156.91, 1143.26, 1151.12
07/14/04, 1172.45, 1175.35, 1151.49, 1151.49
07/13/04, 1160.00, 1166.47, 1158.20, 1166.47
07/12/04, 1155.45, 1165.39, 1154.12, 1161.68
07/09/04, 1134.76, 1146.92, 1134.76, 1146.92
07/08/04, 1139.23, 1143.29, 1133.75, 1135.00
07/07/04, 1139.85, 1143.81, 1129.77, 1139.88
07/06/04, 1157.02, 1161.28, 1148.99, 1148.99
07/05/04, 1166.37, 1166.37, 1154.16, 1156.53
07/02/04, 1178.65, 1178.65, 1172.21, 1173.55
07/01/04, 1194.73, 1197.74, 1187.98, 1188.42
06/30/04, 1187.70, 1190.14, 1182.99, 1189.60
06/29/04, 1182.18, 1188.08, 1179.68, 1187.01
06/28/04, 1175.54, 1186.60, 1175.04, 1186.60
06/25/04, 1169.09, 1172.44, 1162.04, 1172.44
06/24/04, 1163.02, 1169.73, 1162.26, 1168.96
06/23/04, 1165.68, 1166.34, 1154.61, 1156.16
06/22/04, 1162.02, 1162.31, 1156.25, 1162.31
06/21/04, 1158.61, 1176.08, 1158.61, 1165.25
06/18/04, 1164.76, 1164.76, 1142.53, 1149.88
06/17/04, 1168.68, 1169.19, 1159.46, 1166.78
06/16/04, 1160.15, 1169.45, 1160.15, 1167.09
06/15/04, 1156.66, 1158.03, 1147.38, 1151.30
06/14/04, 1159.29, 1168.33, 1157.86, 1158.54
06/11/04, 1161.96, 1167.78, 1158.49, 1160.30
06/10/04, 1147.83, 1164.48, 1146.57, 1162.06
06/09/04, 1158.00, 1158.75, 1150.14, 1152.77
06/08/04, 1160.62, 1161.65, 1153.47, 1157.92
06/07/04, 1132.15, 1153.90, 1132.15, 1151.67
06/04/04, 1120.91, 1124.97, 1117.02, 1124.97
06/03/04, 1139.30, 1145.71, 1114.60, 1119.56
06/02/04, 1141.85, 1141.85, 1134.42, 1136.87
06/01/04, 1136.87, 1146.52, 1135.75, 1144.27
05/31/04, 1140.29, 1140.98, 1128.43, 1139.94
05/28/04, 1134.37, 1143.71, 1134.37, 1142.38
05/27/04, 1128.86, 1132.68, 1123.94, 1126.64
05/26/04, 1127.37, 1134.50, 1126.90, 1127.24
05/25/04, 1128.52, 1128.57, 1114.14, 1115.66
05/24/04, 1128.78, 1135.48, 1126.65, 1130.89
05/21/04, 1108.34, 1125.50, 1108.34, 1125.21
05/20/04, 1107.07, 1119.45, 1097.74, 1104.89
05/19/04, 1084.06, 1106.16, 1083.10, 1106.16
05/18/04, 1057.15, 1076.60, 1057.00, 1076.21
05/17/04, 1086.09, 1086.09, 1051.57, 1053.77
05/14/04, 1099.04, 1103.82, 1084.97, 1091.51
05/13/04, 1117.77, 1117.77, 1095.93, 1095.93
05/12/04, 1101.63, 1122.52, 1100.74, 1122.31
05/11/04, 1082.20, 1096.45, 1076.10, 1088.89
05/10/04, 1143.68, 1143.70, 1083.19, 1085.54
05/07/04, 1158.63, 1164.06, 1150.89, 1150.89
05/06/04, 1189.64, 1191.42, 1165.24, 1165.24
04/30/04, 1194.02, 1194.02, 1175.01, 1186.31
04/28/04, 1208.36, 1212.04, 1205.46, 1206.92
04/27/04, 1207.38, 1207.38, 1199.13, 1204.94
04/26/04, 1211.30, 1215.56, 1207.17, 1210.96
04/23/04, 1209.21, 1210.88, 1202.03, 1209.62
04/22/04, 1211.88, 1216.67, 1205.46, 1205.80
04/21/04, 1203.52, 1208.54, 1198.50, 1203.59
04/20/04, 1188.71, 1208.42, 1185.83, 1204.37
04/19/04, 1197.84, 1198.06, 1168.86, 1182.97
04/16/04, 1196.60, 1201.68, 1189.34, 1196.18
04/15/04, 1221.71, 1225.97, 1189.89, 1194.67
04/14/04, 1213.30, 1220.06, 1210.58, 1217.87
04/13/04, 1215.82, 1220.16, 1214.07, 1216.60
04/12/04, 1194.42, 1209.55, 1194.42, 1206.57
04/09/04, 1200.42, 1200.42, 1186.67, 1190.86
04/08/04, 1203.64, 1211.98, 1201.61, 1209.89
04/07/04, 1203.33, 1211.00, 1202.81, 1204.81
04/06/04, 1206.21, 1210.02, 1195.83, 1209.44
04/05/04, 1195.80, 1202.33, 1195.33, 1199.24
04/02/04, 1178.35, 1187.50, 1176.65, 1184.20
04/01/04, 1182.05, 1185.34, 1171.62, 1175.01
03/31/04, 1175.70, 1180.65, 1163.79, 1179.23
03/30/04, 1187.19, 1189.38, 1172.24, 1175.51
03/29/04, 1179.16, 1186.06, 1174.98, 1179.17
03/26/04, 1167.37, 1177.39, 1167.12, 1176.32
03/25/04, 1151.79, 1160.00, 1149.41, 1160.00
03/24/04, 1134.67, 1146.44, 1130.36, 1145.95
03/23/04, 1121.51, 1134.34, 1112.70, 1132.55
03/22/04, 1132.90, 1135.60, 1130.17, 1131.50
03/19/04, 1139.27, 1144.32, 1134.22, 1138.09
03/18/04, 1153.44, 1159.92, 1142.41, 1145.71
03/17/04, 1126.79, 1143.14, 1126.79, 1141.71
03/16/04, 1120.00, 1125.90, 1119.13, 1120.96
03/15/04, 1118.23, 1126.78, 1118.23, 1124.92
03/12/04, 1108.30, 1109.87, 1100.15, 1107.37
03/11/04, 1118.05, 1124.95, 1112.61, 1120.34
03/10/04, 1131.98, 1132.83, 1125.42, 1128.40
03/09/04, 1128.07, 1134.34, 1125.96, 1134.34
03/08/04, 1134.21, 1141.14, 1132.03, 1132.03
03/05/04, 1126.55, 1131.01, 1119.62, 1131.01
03/04/04, 1115.32, 1126.71, 1114.68, 1120.67
03/03/04, 1117.26, 1123.34, 1114.58, 1116.01
03/02/04, 1113.56, 1116.75, 1106.82, 1116.75
03/01/04, 1089.23, 1107.60, 1088.73, 1107.60
02/27/04, 1064.32, 1083.52, 1064.24, 1082.47
02/26/04, 1052.63, 1060.03, 1050.94, 1060.03
02/25/04, 1046.95, 1053.45, 1043.88, 1046.40
02/24/04, 1064.00, 1065.72, 1048.88, 1048.88
02/23/04, 1059.02, 1069.30, 1057.26, 1068.02
02/20/04, 1059.49, 1061.68, 1055.16, 1058.76
02/19/04, 1058.63, 1063.68, 1056.50, 1059.51
