Date,Close,TOPIX,HALF_YEAR
2013/1/9,879.05,53.89439996,205.7615347074446
2013/1/10,889.02,54.5056589,208.0952387229155
2013/1/11,898.69,55.09852489,210.3587209412682
2013/1/15,906.22,55.56018785,212.12128772441605
2013/1/16,888.11,54.44986696,207.8822326368059
2013/1/17,890.46,54.59394504,208.43230327272548
2013/1/18,911.44,55.88022513,213.3431468033792
2013/1/21,905.16,55.49519944,211.8731707588367
2013/1/22,901.15,55.24934705,210.93453956310134
2013/1/23,887.79,54.43024781,207.80732937382027
2013/1/24,897.62,55.03292337,210.10826320457645
2013/1/25,917.09,56.22662563,214.66565709306283
2013/1/28,913.78,56.02369012,213.8908767445437
2013/1/29,920.76,56.45163268,215.5247035981238
2013/1/30,934.67,57.30445232,218.78065371697267
2013/1/31,940.25,57.64656113,220.08677891429897
2013/2/1,942.65,57.79370471,220.64855321488713
2013/2/4,955.75,58.59686339,223.71490450060625
2013/2/5,939.7,57.61284073,219.9580389847312
2013/2/6,968.82,59.39818278,226.77423362570283
2013/2/7,969.18,59.42025431,226.858499744066
2013/2/8,957.35,58.69495911,224.08942070099835
2013/2/12,968.5,59.37856363,226.69933036271723
2013/2/13,957.02,58.67472686,224.012176705079
2013/2/14,954.88,58.54352384,223.5112613080528
2013/2/15,942.41,57.77899035,220.5923757771926
2013/2/18,962.69,59.02235356,225.33936846063008
2013/2/19,963.61,59.0787586,225.55471527967342
2013/2/20,973.7,59.69737471,227.91650797581292
2013/2/21,962.86,59.03277623,225.3791608059673
2013/2/22,963.48,59.07078832,225.52428582789244
2013/2/25,980.7,60.12654347,229.55501629526046
2013/2/26,966.77,59.27249764,226.2943847487228
2013/2/27,953.72,58.47240445,223.23973708949362
2013/2/28,975.66,59.81754197,228.37529033274689
2013/3/1,984.33,60.34909813,230.4046999067652
2013/3/4,992.25,60.83467193,232.258555045256
2013/3/5,988.62,60.61211727,231.40887143375127
2013/3/6,1003.22,61.50724069,234.82633166688265
2013/3/7,1004.35,61.57652079,235.09083372481936
2013/3/8,1020.5,62.56667443,238.87110649367426
2013/3/11,1039.98,63.76098979,243.43084111509438
2013/3/12,1035.9,63.51084571,242.47582482700167
2013/3/13,1031.42,63.2361777,241.42717948881096
2013/3/14,1038.17,63.65001901,243.00716967580885
2013/3/15,1051.65,64.47647542,246.16246854575854
2013/3/18,1028.34,63.04734345,240.70623584505267
2013/3/19,1045.89,64.12333084,244.8142102701613
2013/3/21,1058.1,64.87192378,247.67223693563827
2013/3/22,1038.57,63.67454294,243.10079872590688
2013/3/25,1047.29,64.20916459,245.1419119264151
2013/3/26,1044.42,64.0332054,244.47012352155022
2013/3/27,1046.47,64.15889054,244.9499723985303
2013/3/28,1036.78,63.56479835,242.68180871431014
2013/3/29,1034.71,63.43788702,242.1972784096413
2013/4/1,1000.57,61.34476966,234.20603923384485
2013/4/2,991.34,60.77887999,232.0455489591464
2013/4/3,1010.43,61.94928451,236.51399522522354
2013/4/4,1037.76,63.62488198,242.91119989277712
2013/4/5,1066.24,65.37098574,249.5775880459562
2013/4/8,1101.74,67.54748446,257.88716598445023
2013/4/9,1102.04,67.5658774,257.95738774338975
2013/4/10,1121.04,68.73076404,262.40476748942075
2013/4/11,1147.29,70.3401469,268.5491737255275
2013/4/12,1148.57,70.41862347,268.84878666293406
2013/4/15,1133.99,69.52472625,265.4360078956701
2013/4/16,1119.2,68.61795397,261.9740738895128
2013/4/17,1136.01,69.64857209,265.90883457384905
2013/4/18,1122.97,68.849092,262.85652764755355
2013/4/19,1126.67,69.07593835,263.72259635141563
2013/4/22,1145.6,70.2365333,268.1535910050893
2013/4/23,1143.78,70.12494942,267.72757883287005
2013/4/24,1164.35,71.38609248,272.54245258049207
2013/4/25,1172.78,71.90293429,274.5156847549945
2013/4/26,1161.19,71.19235344,271.8027831114427
2013/4/30,1165.13,71.43391414,272.72502921482067
2013/5/1,1158.37,71.01945974,272.72502921482067
2013/5/2,1153.28,70.70739274,272.72502921482067
2013/5/7,1188.57,72.87101639,272.72502921482067
2013/5/8,1194.34,73.22477407,272.72502921482067
2013/5/9,1181.83,72.45778819,272.72502921482067
2013/5/10,1210.6,74.2216718,272.72502921482067
2013/5/13,1232.2,75.54596397,272.72502921482067
2013/5/14,1230.8,75.46013022,272.72502921482067
2013/5/15,1252.85,76.81201182,272.72502921482067
2013/5/16,1245.23,76.34483097,272.72502921482067
2013/5/17,1253.24,76.83592265,272.72502921482067
2013/5/20,1269.51,77.83343347,272.72502921482067
2013/5/21,1270.39,77.88738612,272.72502921482067
2013/5/22,1276.03,78.23317352,272.72502921482067
2013/5/23,1188.34,72.85691513,272.72502921482067
2013/5/24,1194.08,73.20883352,272.72502921482067
2013/5/27,1154.07,70.7558275,272.72502921482067
2013/5/28,1168.27,71.62642699,272.72502921482067
2013/5/29,1178.87,72.27631111,272.72502921482067
2013/5/30,1134.42,69.55108948,272.72502921482067
2013/5/31,1135.78,69.63447083,272.72502921482067
2013/6/3,1096.95,67.25381041,272.72502921482067
2013/6/4,1125.47,69.00236656,272.72502921482067
2013/6/5,1090.03,66.82954643,272.72502921482067
2013/6/6,1070.77,65.64871924,272.72502921482067
2013/6/7,1056.95,64.80141748,272.72502921482067
2013/6/10,1111.97,68.17468395,272.72502921482067
2013/6/11,1101.15,67.51131166,272.72502921482067
2013/6/12,1096.54,67.22867338,272.72502921482067
2013/6/13,1044.17,64.01787794,272.72502921482067
2013/6/14,1056.45,64.77076257,272.72502921482067
2013/6/17,1084.72,66.50399127,272.72502921482067
2013/6/18,1086.4,66.60699177,272.72502921482067
2013/6/19,1106.57,67.8436109,272.72502921482067
2013/6/20,1091.81,66.93867791,272.72502921482067
2013/6/21,1099.4,67.40401947,272.72502921482067
2013/6/24,1089.64,66.8056356,272.72502921482067
2013/6/25,1078.66,66.13245374,272.72502921482067
2013/6/26,1069.28,65.5573676,272.72502921482067
2013/6/27,1098.83,67.36907287,272.72502921482067
2013/6/28,1133.84,69.51552978,272.72502921482067
2013/7/1,1150.7,70.54921339,272.72502921482067
2013/7/2,1171.84,71.84530305,272.72502921482067
2013/7/3,1173.81,71.96608341,272.72502921482067
2013/7/4,1170.71,71.77602295,272.72502921482067
2013/7/5,1188.58,72.87162949,272.72502921482067
2013/7/8,1172.58,71.89067232,272.72502921482067
2013/7/9,1196.89,73.38111412,272.72502921482067
2013/7/10,1195.2,73.27750052,272.72502921482067
2013/7/11,1194.77,73.2511373,272.72502921482067
2013/7/12,1201.99,73.69379422,272.72502921482067
2013/7/16,1210.54,74.21799321,272.72502921482067
2013/7/17,1213.24,74.38352973,272.72502921482067
2013/7/18,1222.01,74.92121688,272.72502921482067
2013/7/19,1211.98,74.30627935,272.72502921482067
2013/7/22,1216.53,74.58523905,272.72502921482067
2013/7/23,1222.72,74.96474685,272.72502921482067
2013/7/24,1219.92,74.79307935,272.72502921482067
2013/7/25,1202.32,73.71402646,272.72502921482067
2013/7/26,1167.06,71.5522421,272.72502921482067
2013/7/29,1128.45,69.18506983,272.72502921482067
2013/7/30,1148.53,70.41617108,272.72502921482067
2013/7/31,1131.7,69.38432676,272.72502921482067
2013/8/1,1163.39,71.32723505,272.72502921482067
2013/8/2,1196.17,73.33697105,272.72502921482067
2013/8/5,1184.74,72.63619977,272.72502921482067
2013/8/6,1193.66,73.18308339,272.72502921482067
2013/8/7,1155.26,70.82878619,272.72502921482067
2013/8/8,1139.59,69.86806126,272.72502921482067
2013/8/9,1140.91,69.94899023,272.72502921482067
2013/8/12,1134.14,69.53392273,272.72502921482067
2013/8/13,1157.05,70.93853077,272.72502921482067
2013/8/14,1169.97,71.73065369,272.72502921482067
2013/8/15,1151.82,70.6178804,272.72502921482067
2013/8/16,1142.65,70.05566932,272.72502921482067
2013/8/19,1149.13,70.45295697,272.72502921482067
2013/8/20,1125.27,68.99010459,272.72502921482067
2013/8/21,1121.74,68.77368092,272.72502921482067
2013/8/22,1119.56,68.6400255,272.72502921482067
2013/8/23,1141.63,69.9931333,272.72502921482067
2013/8/26,1140,69.89319829,272.72502921482067
2013/8/27,1134.02,69.52656555,272.72502921482067
2013/8/28,1114.03,68.30098218,272.72502921482067
2013/8/29,1116.51,68.45303054,272.72502921482067
2013/8/30,1106.05,67.8117298,272.72502921482067
2013/9/2,1117.78,68.53089402,272.72502921482067
2013/9/3,1149.18,70.45602246,272.72502921482067
2013/9/4,1156.3,70.8925484,272.72502921482067
2013/9/5,1157.84,70.98696553,272.72502921482067
2013/9/6,1147.82,70.3726411,272.72502921482067
2013/9/9,1173,71.91642245,272.72502921482067
2013/9/10,1190.22,72.9721776,272.72502921482067
2013/9/11,1189.25,72.91270707,272.72502921482067
2013/9/12,1184.36,72.61290204,272.72502921482067
2013/9/13,1185.28,72.66930708,272.72502921482067
2013/9/17,1181.64,72.44613932,272.72502921482067
2013/9/18,1193.07,73.1469106,272.72502921482067
2013/9/19,1215.48,74.52086373,272.72502921482067
2013/9/20,1218.98,74.73544811,272.72502921482067
2013/9/24,1214.87,74.48346474,272.72502921482067
2013/9/25,1211.15,74.2553922,272.72502921482067
2013/9/26,1220.49,74.82802595,272.72502921482067
2013/9/27,1217.52,74.64593577,272.72502921482067
2013/9/30,1194.1,73.21005972,272.72502921482067
2013/10/1,1193.44,73.16959523,272.72502921482067
2013/10/2,1175.16,72.04885167,272.72502921482067
2013/10/3,1173.99,71.97711917,272.72502921482067
2013/10/4,1163.82,71.35359827,272.72502921482067
